Dealer Name,Brand,Period,Time Period,Vehicle Line,Vehicle Type,Vehicles Sales Total
Zapata (Suc. Pachuca),FORD,202403,MTD,ESCAPE NA FHEV,OUTFITTERS,6
Zapata (Suc. Pachuca),FORD,202403,MTD,LOBO CREW,TRUCKS,5
Zapata (Suc. Pachuca),FORD,202403,MTD,RANGER SILVERTON,TRUCKS,11
Zapata (Suc. Pachuca),FORD,202403,MTD,TERRITORY,OUTFITTERS,4
Zapata (Suc. Pachuca),FORD,202403,MTD,BRONCO SPORT,OUTFITTERS,3
Zapata (Suc. Pachuca),FORD,202403,MTD,F-350,TRUCKS,3
Zapata (Suc. Pachuca),FORD,202403,MTD,RANGER TAILANDIA,TRUCKS,5
Zapata (Suc. Pachuca),FORD,202403,MTD,FORD BRONCO,OUTFITTERS,4
Zapata (Suc. Pachuca),FORD,202403,MTD,EXPED MAX,OUTFITTERS,12
Zapata (Suc. Pachuca),FORD,202403,MTD,MAVERICK,TRUCKS,9
Zapata (Suc. Pachuca),FORD,202403,MTD,EXPLORER,OUTFITTERS,15
Zapata (Suc. Pachuca),FORD,202403,MTD,LOBO,TRUCKS,12
Zapata (Suc. Pachuca),FORD,202403,MTD,TRANSIT V363,TRUCKS,4
Zapata (Suc. Pachuca),FORD,202404,MTD,MAVERICK,TRUCKS,4
Zapata (Suc. Pachuca),FORD,202404,MTD,RANGER SILVERTON,TRUCKS,6
Zapata (Suc. Pachuca),FORD,202404,MTD,RANGER TAILANDIA,TRUCKS,8
Zapata (Suc. Pachuca),FORD,202404,MTD,F-550,TRUCKS,13
Zapata (Suc. Pachuca),FORD,202404,MTD,LOBO CREW,TRUCKS,14
Zapata (Suc. Pachuca),FORD,202404,MTD,TERRITORY,OUTFITTERS,9
Zapata (Suc. Pachuca),FORD,202404,MTD,TRANSIT V363,TRUCKS,12
Zapata (Suc. Pachuca),FORD,202404,MTD,BRONCO SPORT,OUTFITTERS,10
Zapata (Suc. Pachuca),FORD,202404,MTD,F-150,TRUCKS,2
Zapata (Suc. Pachuca),FORD,202404,MTD,ESCAPE NA FHEV,OUTFITTERS,9
Zapata (Suc. Pachuca),FORD,202404,MTD,F-450,TRUCKS,6
Zapata (Suc. Pachuca),FORD,202404,MTD,RAPTOR,TRUCKS,13
Zapata (Suc. Pachuca),FORD,202404,MTD,TRANSIT NA,TRUCKS,9
Zapata (Suc. Aeropuerto),FORD,202401,MTD,LOBO CREW,TRUCKS,1
Zapata (Suc. Aeropuerto),FORD,202401,MTD,BRONCO SPORT,OUTFITTERS,1
Zapata (Suc. Aeropuerto),FORD,202401,MTD,ESCAPE NA FHEV,OUTFITTERS,9
Zapata (Suc. Aeropuerto),FORD,202401,MTD,MAVERICK,TRUCKS,4
Zapata (Suc. Aeropuerto),FORD,202401,MTD,TRANSIT NA,TRUCKS,10
Zapata (Suc. Aeropuerto),FORD,202401,MTD,TRANSIT V363,TRUCKS,15
Zapata (Suc. Aeropuerto),FORD,202401,MTD,F-450,TRUCKS,5
Zapata (Suc. Aeropuerto),FORD,202401,MTD,MUSTANG,CARS,12
Zapata (Suc. Aeropuerto),FORD,202401,MTD,TERRITORY,OUTFITTERS,0
Zapata (Suc. Aeropuerto),FORD,202401,MTD,F-550,TRUCKS,9
Zapata (Suc. Aeropuerto),FORD,202402,MTD,F-550,TRUCKS,0
Zapata (Suc. Aeropuerto),FORD,202402,MTD,LOBO,TRUCKS,14
Zapata (Suc. Aeropuerto),FORD,202402,MTD,TERRITORY,OUTFITTERS,1
Zapata (Suc. Aeropuerto),FORD,202402,MTD,ESCAPE NA FHEV,OUTFITTERS,14
Zapata (Suc. Aeropuerto),FORD,202402,MTD,MAVERICK,TRUCKS,11
Zapata (Suc. Aeropuerto),FORD,202402,MTD,LOBO CREW,TRUCKS,0
Zapata (Suc. Aeropuerto),FORD,202402,MTD,RANGER SILVERTON,TRUCKS,14
Zapata (Suc. Aeropuerto),FORD,202402,MTD,RANGER TAILANDIA,TRUCKS,8
Zapata (Suc. Aeropuerto),FORD,202402,MTD,TRANSIT V363,TRUCKS,13
Zapata (Suc. Aeropuerto),FORD,202403,MTD,EXPED MAX,OUTFITTERS,11
Zapata (Suc. Aeropuerto),FORD,202403,MTD,TERRITORY,OUTFITTERS,1
Zapata (Suc. Aeropuerto),FORD,202403,MTD,EXPLORER,OUTFITTERS,11
Zapata (Suc. Aeropuerto),FORD,202403,MTD,MAVERICK,TRUCKS,3
Zapata (Suc. Aeropuerto),FORD,202403,MTD,FORD BRONCO,OUTFITTERS,1
Zapata (Suc. Aeropuerto),FORD,202403,MTD,F-250,TRUCKS,1
Zapata (Suc. Aeropuerto),FORD,202403,MTD,TRANSIT V363,TRUCKS,10
Zapata (Suc. Aeropuerto),FORD,202404,MTD,EXPEDITION,OUTFITTERS,12
Zapata (Suc. Aeropuerto),FORD,202404,MTD,TRANSIT V363,TRUCKS,14
Zapata (Suc. Aeropuerto),FORD,202404,MTD,EXPLORER,OUTFITTERS,15
Zapata (Suc. Aeropuerto),FORD,202404,MTD,RANGER SILVERTON,TRUCKS,1
Zapata (Suc. Aeropuerto),FORD,202404,MTD,TERRITORY,OUTFITTERS,8
Zapata (Suc. Aeropuerto),FORD,202404,MTD,BRONCO SPORT,OUTFITTERS,11
Zapata (Suc. Aeropuerto),FORD,202404,MTD,ESCAPE NA FHEV,OUTFITTERS,7
Zapata (Suc. Aeropuerto),FORD,202404,MTD,RANGER TAILANDIA,TRUCKS,14
Zapata,FORD,202401,MTD,ESCAPE NA FHEV,OUTFITTERS,0
Zapata,FORD,202401,MTD,F-150,TRUCKS,1
Zapata,FORD,202401,MTD,F-350,TRUCKS,8
Zapata,FORD,202401,MTD,MAVERICK,TRUCKS,7
Zapata,FORD,202401,MTD,TERRITORY,OUTFITTERS,8
Zapata,FORD,202401,MTD,TRANSIT V363,TRUCKS,11
Zapata,FORD,202401,MTD,F-150 CREW,TRUCKS,10
Zapata,FORD,202401,MTD,F-550,TRUCKS,8
Zapata,FORD,202401,MTD,MUSTANG,CARS,14
Zapata,FORD,202401,MTD,TRANSIT COURIER,TRUCKS,15
Zapata,FORD,202401,MTD,TRANSIT NA,TRUCKS,1
Zapata,FORD,202401,MTD,E-TRANSIT,TRUCKS,0
Zapata,FORD,202401,MTD,BRONCO SPORT,OUTFITTERS,8
Zapata,FORD,202401,MTD,RANGER TAILANDIA,TRUCKS,6
Zapata,FORD,202401,MTD,FORD BRONCO,OUTFITTERS,2
Zapata,FORD,202401,MTD,EDGE,OUTFITTERS,1
Zapata,FORD,202401,MTD,EXPED MAX,OUTFITTERS,10
Zapata,FORD,202401,MTD,F-250,TRUCKS,9
Zapata,FORD,202401,MTD,F-450,TRUCKS,11
Zapata,FORD,202401,MTD,EXPLORER,OUTFITTERS,8
Zapata,FORD,202401,MTD,MUSTANG MACH-E,OUTFITTERS,12
Zapata,FORD,202401,MTD,RANGER SILVERTON,TRUCKS,8
Zapata,FORD,202401,MTD,TRANSIT V362,TRUCKS,13
Zapata,FORD,202402,MTD,ESCAPE NA FHEV,OUTFITTERS,15
Zapata,FORD,202402,MTD,BRONCO SPORT,OUTFITTERS,0
Zapata,FORD,202402,MTD,F-550,TRUCKS,0
Zapata,FORD,202402,MTD,TERRITORY,OUTFITTERS,11
Zapata,FORD,202402,MTD,EXPLORER,OUTFITTERS,6
Zapata,FORD,202402,MTD,LOBO CREW,TRUCKS,12
Zapata,FORD,202402,MTD,MAVERICK,TRUCKS,7
Zapata,FORD,202402,MTD,MUSTANG,CARS,3
Zapata,FORD,202402,MTD,F-350,TRUCKS,11
Zapata,FORD,202402,MTD,F-150 CREW,TRUCKS,1
Zapata,FORD,202402,MTD,EXPEDITION,OUTFITTERS,6
Zapata,FORD,202402,MTD,RANGER TAILANDIA,TRUCKS,0
Zapata,FORD,202402,MTD,TRANSIT V363,TRUCKS,15
Zapata,FORD,202402,MTD,EXPED MAX,OUTFITTERS,2
Zapata,FORD,202402,MTD,F-250,TRUCKS,6
Zapata,FORD,202402,MTD,RANGER SILVERTON,TRUCKS,13
Zapata,FORD,202402,MTD,TRANSIT NA,TRUCKS,15
Zapata,FORD,202403,MTD,MAVERICK,TRUCKS,5
Zapata,FORD,202403,MTD,TERRITORY,OUTFITTERS,15
Zapata,FORD,202403,MTD,ESCAPE NA FHEV,OUTFITTERS,14
Zapata,FORD,202403,MTD,LOBO CREW,TRUCKS,5
Zapata,FORD,202403,MTD,TRANSIT NA,TRUCKS,0
Zapata,FORD,202403,MTD,TRANSIT V363,TRUCKS,15
Zapata,FORD,202403,MTD,BRONCO SPORT,OUTFITTERS,12
Zapata,FORD,202403,MTD,MUSTANG,CARS,1
Zapata,FORD,202403,MTD,RANGER SILVERTON,TRUCKS,12
Zapata,FORD,202403,MTD,EXPEDITION,OUTFITTERS,0
Zapata,FORD,202403,MTD,F-250,TRUCKS,3
Zapata,FORD,202403,MTD,EXPLORER,OUTFITTERS,11
Zapata,FORD,202403,MTD,FORD BRONCO,OUTFITTERS,13
Zapata,FORD,202403,MTD,F-550,TRUCKS,1
Zapata,FORD,202403,MTD,EDGE,OUTFITTERS,14
Zapata,FORD,202403,MTD,EXPED MAX,OUTFITTERS,15
Zapata,FORD,202403,MTD,F-150 CREW,TRUCKS,9
Zapata,FORD,202403,MTD,F-450,TRUCKS,13
Zapata,FORD,202403,MTD,RANGER TAILANDIA,TRUCKS,7
Zapata,FORD,202403,MTD,MUSTANG MACH-E,OUTFITTERS,13
Zapata,FORD,202403,MTD,TRANSIT V362,TRUCKS,4
Zapata,FORD,202404,MTD,RANGER TAILANDIA,TRUCKS,11
Zapata,FORD,202404,MTD,ESCAPE NA FHEV,OUTFITTERS,14
Zapata,FORD,202404,MTD,EXPLORER,OUTFITTERS,12
Zapata,FORD,202404,MTD,TERRITORY,OUTFITTERS,12
Zapata,FORD,202404,MTD,BRONCO SPORT,OUTFITTERS,10
Zapata,FORD,202404,MTD,LOBO CREW,TRUCKS,14
Zapata,FORD,202404,MTD,MAVERICK,TRUCKS,3
Zapata,FORD,202404,MTD,RANGER SILVERTON,TRUCKS,14
Zapata,FORD,202404,MTD,TRANSIT NA,TRUCKS,13
Zapata,FORD,202404,MTD,F-150,TRUCKS,0
Zapata,FORD,202404,MTD,MUSTANG,CARS,7
Zapata,FORD,202404,MTD,TRANSIT V363,TRUCKS,5
Zapata,FORD,202404,MTD,EDGE,OUTFITTERS,15
Zapata,FORD,202404,MTD,F-350,TRUCKS,0
Zapata,FORD,202404,MTD,F-450,TRUCKS,15
Zapata,FORD,202404,MTD,F-550,TRUCKS,11
Zapata,FORD,202404,MTD,FORD BRONCO,OUTFITTERS,4
Vista Hermosa Laredo Motors,FORD,202401,MTD,LOBO CREW,TRUCKS,14
Vista Hermosa Laredo Motors,FORD,202401,MTD,F-350,TRUCKS,11
Vista Hermosa Laredo Motors,FORD,202401,MTD,TERRITORY,OUTFITTERS,2
Vista Hermosa Laredo Motors,FORD,202401,MTD,F-250,TRUCKS,9
Vista Hermosa Laredo Motors,FORD,202401,MTD,RANGER SILVERTON,TRUCKS,5
Vista Hermosa Laredo Motors,FORD,202401,MTD,BRONCO SPORT,OUTFITTERS,11
Vista Hermosa Laredo Motors,FORD,202401,MTD,MAVERICK,TRUCKS,8
Vista Hermosa Laredo Motors,FORD,202401,MTD,F-450,TRUCKS,6
Vista Hermosa Laredo Motors,FORD,202401,MTD,FORD BRONCO,OUTFITTERS,15
Vista Hermosa Laredo Motors,FORD,202401,MTD,TRANSIT COURIER,TRUCKS,8
Vista Hermosa Laredo Motors,FORD,202401,MTD,TRANSIT V363,TRUCKS,8
Vista Hermosa Laredo Motors,FORD,202402,MTD,TERRITORY,OUTFITTERS,13
Vista Hermosa Laredo Motors,FORD,202402,MTD,BRONCO SPORT,OUTFITTERS,11
Vista Hermosa Laredo Motors,FORD,202402,MTD,TRANSIT V362,TRUCKS,13
Vista Hermosa Laredo Motors,FORD,202402,MTD,LOBO CREW,TRUCKS,5
Vista Hermosa Laredo Motors,FORD,202402,MTD,TRANSIT V363,TRUCKS,0
Vista Hermosa Laredo Motors,FORD,202402,MTD,LOBO,TRUCKS,11
Vista Hermosa Laredo Motors,FORD,202402,MTD,F-250,TRUCKS,4
Vista Hermosa Laredo Motors,FORD,202402,MTD,F-350,TRUCKS,12
Vista Hermosa Laredo Motors,FORD,202402,MTD,F-550,TRUCKS,13
Vista Hermosa Laredo Motors,FORD,202402,MTD,FORD BRONCO,OUTFITTERS,9
Vista Hermosa Laredo Motors,FORD,202402,MTD,RANGER TAILANDIA,TRUCKS,10
Vista Hermosa Laredo Motors,FORD,202403,MTD,TERRITORY,OUTFITTERS,12
Vista Hermosa Laredo Motors,FORD,202403,MTD,BRONCO SPORT,OUTFITTERS,4
Vista Hermosa Laredo Motors,FORD,202403,MTD,RANGER SILVERTON,TRUCKS,10
Vista Hermosa Laredo Motors,FORD,202403,MTD,F-350,TRUCKS,1
Vista Hermosa Laredo Motors,FORD,202403,MTD,F-250,TRUCKS,9
Vista Hermosa Laredo Motors,FORD,202403,MTD,FORD BRONCO,OUTFITTERS,15
Vista Hermosa Laredo Motors,FORD,202403,MTD,LOBO CREW,TRUCKS,4
Vista Hermosa Laredo Motors,FORD,202403,MTD,MAVERICK,TRUCKS,4
Vista Hermosa Laredo Motors,FORD,202404,MTD,RANGER SILVERTON,TRUCKS,14
Vista Hermosa Laredo Motors,FORD,202404,MTD,F-450,TRUCKS,14
Vista Hermosa Laredo Motors,FORD,202404,MTD,MAVERICK,TRUCKS,3
Vista Hermosa Laredo Motors,FORD,202404,MTD,F-350,TRUCKS,9
Vista Hermosa Laredo Motors,FORD,202404,MTD,LOBO CREW,TRUCKS,8
Vista Hermosa Laredo Motors,FORD,202404,MTD,RANGER TAILANDIA,TRUCKS,1
Vista Hermosa Laredo Motors,FORD,202404,MTD,EXPLORER,OUTFITTERS,2
Vista Hermosa Laredo Motors,FORD,202404,MTD,F-250,TRUCKS,7
Vista Hermosa Laredo Motors,FORD,202404,MTD,EXPEDITION,OUTFITTERS,12
Vista Hermosa Laredo Motors,FORD,202404,MTD,F-550,TRUCKS,3
Vista Hermosa Laredo Motors,FORD,202404,MTD,TERRITORY,OUTFITTERS,8
Vehiculos De Teziutlan,FORD,202401,MTD,F-250,TRUCKS,6
Vehiculos De Teziutlan,FORD,202401,MTD,TERRITORY,OUTFITTERS,3
Vehiculos De Teziutlan,FORD,202401,MTD,MAVERICK,TRUCKS,13
Vehiculos De Teziutlan,FORD,202401,MTD,RANGER TAILANDIA,TRUCKS,12
Vehiculos De Teziutlan,FORD,202401,MTD,BRONCO SPORT,OUTFITTERS,0
Vehiculos De Teziutlan,FORD,202401,MTD,LOBO,TRUCKS,12
Vehiculos De Teziutlan,FORD,202401,MTD,RANGER SILVERTON,TRUCKS,2
Vehiculos De Teziutlan,FORD,202401,MTD,F-150,TRUCKS,15
Vehiculos De Teziutlan,FORD,202401,MTD,TRANSIT COURIER,TRUCKS,0
Vehiculos De Teziutlan,FORD,202402,MTD,RANGER TAILANDIA,TRUCKS,13
Vehiculos De Teziutlan,FORD,202402,MTD,TERRITORY,OUTFITTERS,6
Vehiculos De Teziutlan,FORD,202402,MTD,F-350,TRUCKS,10
Vehiculos De Teziutlan,FORD,202402,MTD,TRANSIT V363,TRUCKS,14
Vehiculos De Teziutlan,FORD,202402,MTD,ESCAPE NA FHEV,OUTFITTERS,15
Vehiculos De Teziutlan,FORD,202402,MTD,LOBO CREW,TRUCKS,11
Vehiculos De Teziutlan,FORD,202402,MTD,RANGER SILVERTON,TRUCKS,5
Vehiculos De Teziutlan,FORD,202403,MTD,RANGER SILVERTON,TRUCKS,10
Vehiculos De Teziutlan,FORD,202403,MTD,F-450,TRUCKS,6
Vehiculos De Teziutlan,FORD,202403,MTD,BRONCO SPORT,OUTFITTERS,8
Vehiculos De Teziutlan,FORD,202403,MTD,TERRITORY,OUTFITTERS,10
Vehiculos De Teziutlan,FORD,202403,MTD,ESCAPE NA FHEV,OUTFITTERS,14
Vehiculos De Teziutlan,FORD,202403,MTD,LOBO CREW,TRUCKS,10
Vehiculos De Teziutlan,FORD,202403,MTD,MAVERICK,TRUCKS,1
Vehiculos De Teziutlan,FORD,202403,MTD,TRANSIT V363,TRUCKS,6
Vehiculos De Teziutlan,FORD,202403,MTD,EXPED MAX,OUTFITTERS,8
Vehiculos De Teziutlan,FORD,202404,MTD,TERRITORY,OUTFITTERS,15
Vehiculos De Teziutlan,FORD,202404,MTD,F-250,TRUCKS,13
Vehiculos De Teziutlan,FORD,202404,MTD,RANGER SILVERTON,TRUCKS,7
Vehiculos De Teziutlan,FORD,202404,MTD,F-450,TRUCKS,0
Vehiculos De Teziutlan,FORD,202404,MTD,FORD BRONCO,OUTFITTERS,3
Vehiculos De Teziutlan,FORD,202404,MTD,MUSTANG,CARS,2
Vehiculos De Teziutlan,FORD,202404,MTD,LOBO CREW,TRUCKS,6
Vehiculos De Teziutlan,FORD,202404,MTD,RAPTOR,TRUCKS,4
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,RAPTOR,TRUCKS,12
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,LOBO CREW,TRUCKS,15
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,TERRITORY,OUTFITTERS,6
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,ESCAPE NA FHEV,OUTFITTERS,7
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,MUSTANG,CARS,11
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,BRONCO SPORT,OUTFITTERS,12
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,RANGER SILVERTON,TRUCKS,12
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,F-250,TRUCKS,6
Vehiculos Automotrices De La Piedad,FORD,202401,MTD,FORD BRONCO,OUTFITTERS,1
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,TERRITORY,OUTFITTERS,0
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,EXPLORER,OUTFITTERS,5
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,ESCAPE NA FHEV,OUTFITTERS,3
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,F-550,TRUCKS,12
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,LOBO CREW,TRUCKS,6
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,F-250,TRUCKS,14
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,MAVERICK,TRUCKS,6
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,RANGER SILVERTON,TRUCKS,15
Vehiculos Automotrices De La Piedad,FORD,202402,MTD,RANGER TAILANDIA,TRUCKS,4
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,RANGER SILVERTON,TRUCKS,9
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,MAVERICK,TRUCKS,5
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,RANGER TAILANDIA,TRUCKS,1
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,TERRITORY,OUTFITTERS,15
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,BRONCO SPORT,OUTFITTERS,13
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,EXPLORER,OUTFITTERS,13
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,F-550,TRUCKS,15
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,FORD BRONCO,OUTFITTERS,3
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,LOBO CREW,TRUCKS,12
Vehiculos Automotrices De La Piedad,FORD,202403,MTD,F-250,TRUCKS,1
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,MAVERICK,TRUCKS,5
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,TERRITORY,OUTFITTERS,6
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,RANGER SILVERTON,TRUCKS,2
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,RANGER TAILANDIA,TRUCKS,6
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,EXPEDITION,OUTFITTERS,9
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,LOBO CREW,TRUCKS,1
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,F-450,TRUCKS,0
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,FORD BRONCO,OUTFITTERS,0
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,EXPED MAX,OUTFITTERS,8
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,ESCAPE NA FHEV,OUTFITTERS,1
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,F-250,TRUCKS,15
Vehiculos Automotrices De La Piedad,FORD,202404,MTD,RAPTOR,TRUCKS,13
Tula,FORD,202401,MTD,LOBO CREW,TRUCKS,0
Tula,FORD,202401,MTD,TERRITORY,OUTFITTERS,15
Tula,FORD,202401,MTD,EXPLORER,OUTFITTERS,1
Tula,FORD,202401,MTD,RANGER SILVERTON,TRUCKS,9
Tula,FORD,202401,MTD,MAVERICK,TRUCKS,9
Tula,FORD,202402,MTD,TERRITORY,OUTFITTERS,11
Tula,FORD,202402,MTD,BRONCO SPORT,OUTFITTERS,1
Tula,FORD,202402,MTD,EXPLORER,OUTFITTERS,0
Tula,FORD,202402,MTD,RANGER SILVERTON,TRUCKS,6
Tula,FORD,202403,MTD,TERRITORY,OUTFITTERS,4
Tula,FORD,202403,MTD,MAVERICK,TRUCKS,5
Tula,FORD,202403,MTD,RANGER TAILANDIA,TRUCKS,2
Tula,FORD,202403,MTD,ESCAPE NA FHEV,OUTFITTERS,4
Tula,FORD,202403,MTD,RANGER SILVERTON,TRUCKS,8
Tula,FORD,202404,MTD,TERRITORY,OUTFITTERS,8
Tula,FORD,202404,MTD,F-350,TRUCKS,8
Tula,FORD,202404,MTD,RANGER SILVERTON,TRUCKS,8
Tula,FORD,202404,MTD,TRANSIT NA,TRUCKS,5
